user_id,ads_activity
e318-d8e69c86b543a5fb927c-c36fb6e6,очень часто
35cd-a972339dec534f49332c-a8b6d383,редко
f7e6-3b29cf9cb7ed4bb00d8f-81534360,очень редко
5186-e25a37549e50f45b2b43-178eaabe,умеренно
febd-077f277466253ee04ef6-42656680,умеренно
f00c-1bf1415b4377c2c229ee-cef74c27,умеренно
55ba-bb355dd086987f5f390f-508cb1cc,умеренно
ff8f-8167e729650d17c3add4-205d9000,очень редко
dcdf-429ea4cf29bc0f31762d-041e3a8c,редко
e57e-1590a765ad1fbfb7b81b-82ebe9fb,очень редко
a783-a8044324a5c2e112c5a3-ba79340e,умеренно
ef50-d1955f2a861cac4c8460-ead4c702,редко
1803-71652bb278276ea1c0ef-b345a90b,редко
8eac-085ca1da9adfe493cff7-684f210b,умеренно
5ba9-d55c227c16f81e44ab3c-263273a7,редко
aeef-1cb763a104d6e8eef7a4-30154ff9,умеренно
4aa3-0b791cca9ccaf96a4e8d-0c9b1c85,умеренно
ea4d-99b0c5eeac9a01929882-fd3d502d,умеренно
92cb-acd39aad920072dd4906-438d768f,редко
f06b-be007fbdacd087b45f4b-9812d2a4,редко
3918-61e5b64d6b32ebd282f3-94784078,часто
7ac7-11a417bf5e351b30230f-b9ade7f8,редко
2e30-923871ba478e6418fa65-e2a68b63,умеренно
8cb7-87faf19d6315d83f50f0-b35160cf,умеренно
5283-2ef058b9403175b7dbae-27d5b296,очень редко
9376-dfd3e520992d574e7229-1aa09ee7,умеренно
dbda-8283701eb09fa48ff0c3-7d39e267,редко
61b4-e92ca96b251e1c5cf6e1-10f5506a,часто
2357-091efa2e1cef06890e6f-a3051ced,редко
d0c5-cc38f3373a79e1141582-d50d04a5,редко
0fd3-25eb01eae8f52fbe05b1-c39253e2,часто
cecc-e092c3be5c73920c69b8-f8eb461f,умеренно
1566-31beca125644509c3bff-23c0c209,очень часто
6b47-8f6fc58e0326976f6f93-c79d9f5b,редко
0bae-3166d0e3d0292be64bd0-fce8a8f2,умеренно
3654-6f3b997561bfb7caf617-f105d3fe,умеренно
2b16-6c13bc67796f4c185e01-11cb3411,редко
8655-d69cbcb7502c3b48f047-edef75ab,умеренно
fbf0-7ac146d7229be77a8ff9-3b34ae73,умеренно
67fc-021ab979004aaa47e53e-a201832a,умеренно
94d1-82b965befb62a5429f30-ea189260,часто
cbb7-cb1772b8a9b082520ce7-196a3ba8,редко
a0da-f0bf4e431f208c9b5449-1f09990f,часто
60c6-51da2f57356121a3d75a-bd2eb108,умеренно
9bfa-d88926a280be914e2971-0d221c8f,умеренно
eec4-ba0e8feda1f4905f3d3d-8dca4ae5,очень редко
a123-6f501409eeb07f5f1aed-1c9b5d7c,редко
d19e-240bd87c88c6f3211714-7fc8a45e,умеренно
d0ec-c92f3252d77fbd5b8072-24187e4d,редко
91c9-9b503930e0c2f629a226-3e988a67,умеренно
31fc-339e78f4a5380468049f-12126fc9,редко
5b59-e5958bf086d8f98b6f40-e215c0f3,редко
b832-ac827c633ed9ad3fc23e-84f11208,очень редко
397b-0a7e1dd0ea4e10bcf24c-3af94ec0,умеренно
1adf-db122741a64456ecd999-152330cd,редко
3118-850edfda956f2937ef75-1705ebe8,редко
6395-abdd2c68c43724c14e1c-a21ef8b7,редко
099f-c5035c16074946f0c9d8-9fd7b294,умеренно
c6e1-cf62925e47fa9a97df7f-7b45ac85,редко
401c-7a6682be3fa36c03b874-d52c4e09,редко
7ca9-af8895b83bfcaf3beb34-b6629cbd,умеренно
3ece-72804748d298c628b244-0434bd41,очень редко
dd82-4fb692350a3ea1ee91fc-9e89ead6,умеренно
c684-213bfe2d6e9b016e6b6a-09f0fd99,умеренно
05dc-feaa264cf69411853e5f-fdaf96bd,часто
4afc-c6507dace07f1f7d8467-501269f2,умеренно
8d31-597c0ba24a9c9dca53c3-3cbcbe97,очень редко
3407-fc49fbbeb7d0841c2f83-ccb6448b,редко
e47a-50eeeb0b509ef112b358-ac1847fc,редко
68ca-eeb6bf7eb0fd01b509a6-2d5624ee,часто
34ea-32f0b409e1475e5a7a62-c649909f,редко
afce-5bc5c17f31f0894386eb-9b92c069,очень редко
3885-f95244efc204e8a672be-97618230,умеренно
2ed2-2d699b0dc7e21c470413-b5f02487,редко
b3aa-02dcb67f9d70bb774666-924d3e06,очень редко
1e50-1aab56ea41e7faccbebb-e2c68fbd,редко
51bc-3e4f713acefd1c79aa5e-d326236e,умеренно
b25a-3769a30343c74de8af1f-05a9d6f9,часто
aa85-dbdb82b8a038f5cfbd3a-89bf00a4,очень редко
539b-d2fbc9605702bf442d11-4b8f742e,часто
c76e-bf7f3b888d0b24135e07-b1207a05,редко
0923-61e10977d14fadc26933-a4de8936,редко
f520-1294794d6986effef9ea-f061703d,редко
1510-f64414fab12631442324-da281749,часто
1864-2acfb7661a582d977de1-734b89e3,часто
159e-a559a16e41886661d6bc-8e29896d,умеренно
7c1a-b65c15f124e7d6891ae5-d8860984,редко
4471-a52ab203e5169cb99931-9835125d,часто
886d-0eb95bbbfcbcec519100-b44eb430,умеренно
5852-88446bbbc314a489327d-d531f68a,умеренно
7842-91827f39eedcdd2dc8cf-ffeb30f3,очень часто
9e81-83d32b97351575b61d72-285fabc4,редко
5704-cba7cedc911904978046-36f99d02,очень редко
f940-b674bc8841f5497f810b-cb3d31ed,редко
64c7-b009b7438657ce74c34b-63585121,часто
2a05-d7b16c1cade09938985a-5b956363,умеренно
8eaa-d0237a71e06b7c38c2df-4d0df7bb,умеренно
1dde-237be5c57883ac23b6b5-4175e9e5,часто
78e8-1baf9f6f68f507493f8e-242a15b8,редко
bd7c-93fdb915a50f90e88b1b-3b9e3dfa,умеренно
7494-011f507322b06279b353-0b788d9c,очень редко
03d7-27de3aba1f566b8c5c1f-73264605,умеренно
2614-d62dcbdb7cd8f0dc3105-aa246f98,редко
a8ea-684ae7d60744ea0da94f-73750c5c,умеренно
7922-dfefcf794810afebb9ea-d37edfe6,умеренно
b660-68b73632d3d90f8c01b0-ffb3860b,редко
e817-16abae45e7bcffc90942-25003dd6,редко
2022-58cbeefbdc7027af0853-0a38318f,умеренно
3f68-9c6c9108f0290db0c4d1-e3e3e1f8,часто
d2cc-77fc46e4ef6d5dc9af47-372ca22d,умеренно
8501-a998c9edc099268e48bd-cf3b85b5,часто
e83b-7b02f9951823d9589308-78d6a6cd,умеренно
55ba-67d53ae1f884d896cfee-576d3849,часто
7965-bed1c70a098678f165b6-ee862ef1,очень редко
95d0-c1519f6afe96814efd89-5fe4dcfe,редко
77ef-d77b392f66a00e73a42f-0e7f81aa,редко
3787-4b85426d3338b954ce5a-06488f7a,часто
437f-77db061f324797b292ac-6ecb35d0,очень редко
b577-54d94b95f8be1b2a332b-850d35a9,редко
65ba-ff51e44cefaf3d4237be-49c2787a,очень часто
45bd-6ed97eb05608bd9efac4-0b34d639,редко
7ef9-ec95de53eadf4a1cea90-c7f72631,редко
8917-4ddf0ca628c734a1810d-79fcf9ef,умеренно
40fb-1f25bca5350140ef4e62-7bec289d,умеренно
fda0-4394c5109fee591eeb5a-78ee373a,умеренно
27f7-ceb0f9477324fa471a4b-b697c3cc,очень редко
3d9c-9baf72bafd3b97ec1b6f-7bb38e4b,часто
6b02-28f732a57f92caa34a11-7dd0139d,редко
fb10-d9f178750c3d2aefb46e-b2264d3b,умеренно
e587-8b4b355444d848cdca1e-9f4ff978,очень часто
f5b4-23d7c2ede9835f33508e-237804ad,умеренно
