user_id,age_category
f545-8c95aefe8d3e5548a689-a5b2fd39,4
cb48-5a0d6cde4d86ae10637e-c8ceb6ed,2
678b-614cd47d854b9d591db2-000b2e50,0
4ac0-dad169100b4a29b20818-b26ae7c5,4
f19b-9ac21ca973b41ecfa8c3-6a58191d,0
348c-35488a73fb49d5b0449e-1920481e,0
f3cd-a32250aea93b5a3d6e48-2f6d3c21,2
d289-e3226cd63d5718a55b6e-4fcb65c0,4
b5ff-7828dbb91d99930fcc3f-48617440,4
5614-40eb0cb16aae973189dd-58d4abb3,4
8893-5435725d962e02fd5e31-0a141368,1
7849-d1c89e0fd3bef39845b1-b80f1d96,4
7e63-b27a3f133dab38646c18-0aefe09f,3
63d3-8a700398a2a7306e1eb7-80a201f5,0
6993-b467ca99586e840eabdc-5c4f7e9c,0
38e0-224f01e7866e793fc1f9-d6d973d0,4
7b93-5039f7e155f308c79eca-54bbba75,2
c7d4-59a3edca93d18567b10e-741f1c8c,2
0e24-c08553020c0d4929dd9c-a43caf11,2
1403-cc6f0cc9759fa526d86a-334dd97b,0
b989-3b3093718d5dd288abaf-7c22dff5,3
1b25-e7ec8487ef90d6019de8-82df452c,0
ee47-db686342605ccf3ce244-088514e9,4
4859-dfb87c16b0d38cbfd94f-677ad101,4
d81d-d6c2b423a27e6170a5bb-42732602,0
9bd6-b1663d3dd9859692bd1d-1fdc22cd,4
d93f-c182ce41a4f24f32762b-70debc37,2
914a-3457fa64b97870fa8728-1812494b,4
adc5-cbd51d27f0d79375f032-e862a5fb,2
4aeb-f180e8c6d30a4aed9691-e52e60b2,4
4df1-7e24e02ca6db825a97fd-3838dc7e,3
b919-e85eeb9e7505b09a9ee2-fd8db3da,4
c9df-91583e9f33f36a34b5bb-9a9c5ab3,2
9b7c-301da6e0ba1e5c622824-11d92c52,1
1944-3cf1c70721a0829deeb5-e99c3bef,0
34ce-214c49c28091d2fae4ed-d1a01f9e,4
bc05-d511282626677c66ad63-e609d3db,3
85b1-848f0e1dbaabf404f642-fbb70673,0
eea5-f43d2d4636cc25ed1d63-64c4b1ca,3
a7e2-b68311dba2817dd594f8-b7bc3133,2
2579-d266bb99b98a427b59db-3b44c648,2
b983-9a2011d9447fd4bf24a5-6edc17a4,3
bf21-d584a9d978d42e4d7a9a-701ae79f,3
20e8-ee062931d4fbadf6ce7b-724aa007,0
89e9-fc36ea7fefe3f1941499-a90ad2c4,2
3bdd-4131152c20bbe4a56bdd-f6474b41,4
eea0-aa12e68b707e6613d22d-0e525b7d,0
4180-d2d39f7c467243d05e98-f1e2dfd9,3
f3fe-016ce86f12528f74675e-46bbb185,4
de76-9cbe5cef3d2e30e66431-ac9f772b,1
bb29-f02ddb2e0f06a1d500a0-caee7e24,3
3e9c-83e4f2450f7e1af9632a-15be710b,4
4e7b-41ae234f2bbdb0b46201-8dfa9833,3
f2a1-2f8012cc099b3adbe0d3-6113b5e2,3
7756-85a7f76c24fa7c1b0a80-8caa2f5b,2
9ea5-fe8893a000bd2a5d3f8b-9450fcf9,4
046e-5457d3c72ee9e2b3a1bd-9b0ca5e3,4
55ba-67d53ae1f884d896cfee-576d3849,3
7bc7-528d9984666f8f2bee7b-971362e5,2
e38b-9ef6ef3041446fb8c2bd-6f2dc210,0
db79-559f4879327b886e4b83-7db31e9f,3
e1d5-8d10d89e152b658fc671-8d789dcc,2
4eb1-5003646978addba8c144-8d362618,3
fc25-161c3a8d67525bd8c24a-646e7bd6,0
cda3-8ef64feb790e9e138307-173bd4ad,2
bbde-77dbdc05eafeac2a3333-206aa47e,1
4ca3-cf208cddee0536681429-49b3b728,4
fd9e-22c534c4fed510dc5ffc-80c317b5,2
9e51-80c389333fc6abf46944-7a59e5e1,3
20ae-f1fec4dcb9a9d855b19a-484bfff8,2
1246-b02d28fa9633665a9b1b-f6952f96,3
e4f0-a1c2b0177d7f7ac8c70d-228814eb,4
ea5c-74ac746807f1eadee729-74ee0a5d,1
ed51-1e50787232b2cb42eec4-792168a8,3
c6f8-60c42f4008651319fa59-709e698d,3
5e07-f0390157165495a032c9-f1211f3f,4
2afb-7bb713dc5815cde2695b-d7335a04,0
