user_id,primary_device
d602-ec060db7597a6b8cd4e7-aa625896,смартфон
9204-9558455be649d4e77945-b5e25d62,ПК
5eea-22babd6a9474b43b9d0b-a39a4cf2,ноутбук
c142-0296948e8d08e417de10-2da9523c,смартфон
abec-bb4092da51eb2233a928-e44ba074,ПК
b252-4ef81d7eb4d08e7cfca3-8ab368c3,ПК
cf6c-8e40f0911cda3887386b-2a2ba17c,смартфон
d548-dcf590448cab64164ceb-9438f37d,планшет
05ce-a078ac0dc4bb3c6e7c85-a18923e0,планшет
e24f-3c900f4e1c090af800c4-14c13da3,смартфон
df49-8c7335b9636ae479372e-0eee6e81,смартфон
ae1f-6ce24385307546df29fb-6b431d78,смартфон
96dd-1b6dd192a8b41e3a8247-6f0c4f8f,ноутбук
9566-40e132c3e2a65edd6290-fa76d97d,ноутбук
0217-17b504a06ce90f0c0441-ce7e7aa2,планшет
9524-604bd94c56cad4c18d57-15db6001,смартфон
3751-d2c2c7258bfd10befa4c-0754c9fd,ПК
fb63-2efc06d7a3ccd4d30f87-72cefc93,смартфон
e4c4-9539c8f674ce099b85d6-8428c124,смартфон
c17a-575fe607323d50a31fdb-63f65f95,смартфон
8630-c508b15268490375d328-3b80101f,смартфон
a9b3-c7f75b19b2d5abb21d48-db549600,планшет
6b36-7a3db575c5142ac51492-eb1ade28,смартфон
42d1-72d8eb87c49dd47cbf38-6a6f56e3,смартфон
504b-8d8cefdb37d195df31b8-4392ceca,смартфон
9f33-3844155e4dbd89c3f07d-9bac739e,смартфон
c988-d143a1f00f05214d0808-adbb9c19,планшет
b973-960196bd612e8c16278f-b316b759,ноутбук
1c20-c7cbdf8f8d0c1f35f77c-c5f269c0,смартфон
3dd5-f5e4c9f330781499a4f0-c7d9641b,ноутбук
88f0-7a0dee8a42927a21ed44-19bacc95,ноутбук
099f-c5035c16074946f0c9d8-9fd7b294,смартфон
ed71-abece60e9319dbee9036-b5ce8c5e,ПК
4dcf-144388b133175002a5c0-59607200,смартфон
0ab4-e2adc6b116bd7e322c69-3263484a,смартфон
5616-1d35991e4041170fd34f-6e221631,смартфон
8d18-69bb4af11c2ec6565f09-49604413,смартфон
944e-c974db1929b6bbf25954-e0d2403a,ноутбук
a39f-99a93092c1ffbc2229d8-0db0051a,смартфон
9d60-950dfad68a18303f57a2-295040c6,планшет
5122-bdc07b36251296822c8c-fa2549c7,смартфон
04fb-8665d541a58fc6f73f0f-70fcb6b9,ноутбук
034a-3392a91b1a0c261ba9de-2d59db2d,смартфон
5a67-0d2fc24125e24349b41e-065d11bc,смартфон
dfba-9978cdaf44d67ed071fd-7354d715,ноутбук
c2e8-84ed7a93254087ce6392-9d76aea5,ноутбук
4cfc-e0b6e627d35c24d9fc55-72925c6d,смартфон
2a05-d7b16c1cade09938985a-5b956363,смартфон
b50c-d5bd3c502d056eb90c40-f8f50f0d,смартфон
a185-84e9d405c0d731ef9d59-5cd5a1ad,смартфон
ae3f-11ff6e2154127ba525f4-984833f8,смартфон
85b1-848f0e1dbaabf404f642-fbb70673,смартфон
d93f-c182ce41a4f24f32762b-70debc37,смартфон
09c5-a87755a8971756718f7b-9d447a07,ПК
53bf-5cbe6f7a23027e52c663-d32b9f18,смартфон
fc4c-4b0b916d65bc2ce23599-edb48664,ПК
869a-61c755d08f56df0ca7ba-0ba58906,ПК
577b-65e3df050f9b53420009-f6a664d6,смартфон
b6fd-17fb86b35ca4f70b4e0b-e35f9dc6,ПК
c963-72793c2a84b6313a1262-18829e76,ноутбук
76f8-d6e6be08ad7bc8627ccc-59f271fc,ПК
c1f7-3a3d60dab0a264ca1638-1b4b451d,ноутбук
511b-409811fd959fb5729247-ff65650d,смартфон
6395-abdd2c68c43724c14e1c-a21ef8b7,ПК
96b4-5e66005c99a8bfdd49b2-cc071995,смартфон
b5ff-7828dbb91d99930fcc3f-48617440,смартфон
d47f-b71ee8c0629cb956dab0-9375d918,смартфон
2740-fb716449bc17826ea4f7-4d6f376e,ПК
3751-77f5c130df1d1c6f32f9-7d7e41c4,ноутбук
2d82-669d36a383aa9f4e447c-703dea06,ПК
fa84-53d0df7deb99f532d55b-a7b40806,ПК
ff10-de44b4704a1c79823722-b304553a,ПК
16be-0b02029ce13a93f1524f-13e849f3,смартфон
34ce-214c49c28091d2fae4ed-d1a01f9e,смартфон
92a5-2c4b562d973c2962e9e3-eb2e43cf,смартфон
f9fc-f23f321fd4cf636d2ebc-4a1c2a4f,смартфон
3da0-3284b405d9efbd17195e-e76e5026,смартфон
5916-627f42c48242f91aa1e0-70609ce6,планшет
fb57-ae7e68a0c5cf554be6db-0fc8a2f0,смартфон
dd1c-40e446080c4125c48896-56742d42,ноутбук
