user_id,surf_depth
f238-0c4c1e787cce311541b7-736925a0,поверхностно
9030-1b562ad80182b6dc27f1-ce811740,глубоко
22e0-7c6cadcc45e246b8688d-c43c9b23,поверхностно
9d7f-a19f10756378940a49b5-5d03e1ef,поверхностно
4233-bb5ae4b09827e5497094-1a4956af,глубоко
5baa-1d6049f952a418dba9e5-8fb307b8,глубоко
3b1f-f87b1d13b9b2e4f979b0-ce5acf6b,средне
5eea-22babd6a9474b43b9d0b-a39a4cf2,средне
4ab1-508219b6992580664ca9-043ddf62,средне
be32-e36487490b3418b624c2-7b04ab77,средне
c68a-8e3f6caddb2425df976a-3d1563ed,средне
c1bf-fc08b3a2bd36111ed005-a9699c48,глубоко
a29c-7998f6d25520a825061f-1888578d,глубоко
ac56-847a38798f93e1396874-1d400c52,поверхностно
4da5-d07157ba92456dc84293-0dfbe7b0,средне
0810-61aca3c91698830b0876-63584a0b,поверхностно
f197-21fa2789cb93816982fa-352c91eb,поверхностно
bc96-c147aa279a5c49e4b2f7-6cc5c45d,средне
1ef5-fbec68a7954172b48453-1f9f1dcc,поверхностно
1541-de0fba327dc475d776ae-38c3bd3c,глубоко
a9b7-8e4f06da2625951c391c-03b656ef,поверхностно
8d84-442ade4d709cd29667f4-e05f9408,средне
cdcf-d441d670aae0eff8c113-6f5af4c9,средне
6ee1-90734ba3c9e6cef81d8c-bb51f689,средне
fbd1-ea5c44009dc6fdfcfbdb-4797936e,поверхностно
0d61-d7231aba0fab6d7e3a84-833ec82d,поверхностно
73f5-0505d4fb3cf484e2aacd-23c18a11,глубоко
5dd4-7b024a448b3240840a42-cd3a1790,средне
aba8-83ca0bb413387bf43f9d-de1dbd6b,средне
8576-20b5762f7648c4ff03d4-cb69a2cc,средне
2cd9-6569f3ddd4e14b75d8aa-e621264b,средне
d20d-37854c42bb1732942d4d-597c0847,глубоко
5127-05bedc949a039d474d2b-a3684d5d,средне
d752-baba65d0a9166cf9d603-30b0d013,поверхностно
cc10-84ef5693750f4c37e964-9aab7755,средне
750f-d617b31c9db58e1061e4-5a4789e5,средне
76f8-d6e6be08ad7bc8627ccc-59f271fc,средне
d05b-b17762a1c5ef409c9c51-02f88427,средне
0468-42e15e2f6c28be1c53fc-c080f765,поверхностно
8aa6-fbbbf6f8758e05e88ace-ebd2ad3d,средне
49c6-082fb4d8f124be213cb0-a9f06f28,поверхностно
b7a8-6187feb53c1d813c46bb-067ef661,средне
488f-8b1eef49b17d864bdeed-dafb8441,поверхностно
b417-56f0dd32466b3aec2526-732fa6b0,поверхностно
fc37-b3aced9fcbbb14dd880e-c57cde9a,глубоко
85ee-189b9cf1bd0e5cbab26d-d50a27ab,средне
