user_id,days_since_last_order,order_frequency_month,order_frequency_week,avg_order_value,median_order_value,total_spent_last_month,total_spent_last_week,discount_usage_rate,last_coffee_type,preferred_roast,milk_preference,seasonal_menu_tried,coffee_bean_origin,last_drink_size,subscription_status,app_opens_per_week,notifications_enabled,review_rating_last_10,review_rating_last_1,app_crashes_last_month,seasons,days_since_last_promo,phone_type,coffee_preference_change,geo_location,churn
user_00318,0.0,12.942519193002902,,316.83387188897655,260.6450902568597,3089.9910088367074,,0.33703068782256096,blend,light,almond,,vietnam,large,pro,30.468320711384212,1.0,5.1767922695084545,3.30223767351406,,summer,6.0,android,0.0,geo_75,1
user_07234,2.0,1.5691461248817944,0.21449405108609335,780.1351577540042,540.5978496838991,998.3809405341766,107.3694087788926,0.547659068075387,arabica,light,whole,1.0,guatemala,medium,none,,1.0,4.392990649548955,,0.0,autumn,16.0,ios,0.0,geo_95,0
user_04816,11.0,2.9966663901112507,0.7718641401845103,682.6362558300225,471.494558764613,1328.140204249237,392.600011016808,0.12025761379226023,arabica,medium,oat,1.0,guatemala,small,premium,17.895637324890195,1.0,4.977712420601657,4.379218769735224,0.0,spring,11.0,web,1.0,geo_25,0
user_04419,0.0,4.299255265548812,1.2104802114007716,2115.4874247262223,708.5298123182507,2999.628365810148,1084.3520536114063,,robusta,medium,skim,0.0,brazil,medium,none,11.405532631075234,1.0,3.7125260176212356,3.0436175352286736,0.0,summer,3.0,android,0.0,geo_2,0
user_09698,3.0,7.2498644634134335,1.761026955624497,3519.6021699810613,1199.3728942686844,8377.729477589302,2551.775210509954,0.07499028461820959,robusta,dark,almond,1.0,colombia,medium,none,15.948238675950279,0.0,4.528270567478541,5.642993301906982,1.0,winter,14.0,ios,0.0,geo_19,1
user_01247,0.0,1.2848240459487843,0.4181970758665331,1092.1648434848314,338.08204333674826,471.8254723449279,159.36622488526712,0.3504903791610134,arabica,medium,whole,0.0,kenya,large,none,5.064096927364944,0.0,4.23521423515334,4.83558695660121,1.0,winter,17.0,android,0.0,geo_68,0
user_08887,5.0,6.124179727117503,1.2149045751543384,428.48627336731266,174.44944500412052,1088.3599933833716,254.1203453995928,0.14612991038274178,robusta,dark,soy,1.0,,medium,none,11.658836133961122,,4.406612316042086,4.144390712205642,0.0,spring,9.0,android,0.0,geo_3,0
user_01885,3.0,4.640246732093533,1.0292966679419626,27.368788211204368,9.812364708062933,,10.523663077998824,0.1736458884635117,robusta,light,almond,1.0,brazil,small,basic,14.785009941592392,1.0,4.7935473079521715,4.321319202733979,3.0,,12.0,android,0.0,geo_3,1
user_03703,9.0,3.3034459200889734,,1886.5439488268469,964.6292121991046,3312.557597310004,748.6551909120755,0.6765757678205582,blend,medium,skim,1.0,guatemala,medium,,7.129672906008195,1.0,4.405572420598889,,0.0,spring,5.0,android,0.0,geo_45,0
user_01536,0.0,0.31072436311795976,-0.0940517777141452,607.8478096759441,,151.50896789578596,-41.89597741024959,,blend,light,whole,,guatemala,medium,,6.706418257224285,1.0,4.362385425959672,2.6245357196951797,2.0,autumn,14.0,ios,0.0,geo_2,0
user_09190,11.0,2.2624475424768975,0.5773970086968637,550.8035845325716,195.6387855800779,376.95083794021997,113.01407526409683,0.23201421426874902,arabica,medium,,1.0,brazil,medium,pro,9.164624149226174,0.0,4.587345002647332,4.395593349244422,2.0,summer,1.0,ios,0.0,geo_15,0
user_06347,19.0,2.038562334353764,0.44094513387580025,2272.9145199932095,797.8936022006556,1522.1507375976946,446.4232110780804,0.6184305946264227,,medium,whole,0.0,guatemala,medium,none,7.3446398458410265,1.0,3.579825670151025,3.677784699633526,2.0,summer,26.0,web,0.0,,0
user_03894,,4.458033507565123,1.0335288760204038,501.11820457188594,307.718451331319,1401.2504959200983,281.27677242012993,0.3108682662265197,arabica,medium,skim,0.0,guatemala,medium,premium,10.459051637444873,1.0,,,1.0,summer,1.0,ios,0.0,geo_30,0
