id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21,ml_feature_1,ml_feature_2,ml_feature_3,ml_feature_4,ml_feature_5,ml_feature_6,ml_feature_7,ml_feature_8,ml_feature_9,ml_feature_10
1.005262755264887e+19,1,14102100,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,488a9a3e,31025cda,1,0,17614,320,50,1993,2,1063,-1,33,-0.9968226424112062,A,0.6665877396535773,0,0.817292239698044,0.993275343799206,Z,-0.6199589148364818,0.43366641744545986,0.2740379003750666
1.0105971003478262e+19,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,75bb1b58,2ee63ff8,1,0,15701,320,50,1722,0,35,-1,79,-0.39130946505352265,C,5.146789407508312,1,-0.8838650352396085,-0.8257220556335227,X,0.5765258174803616,-0.31855784818200844,-0.1328509654732741
1.0120475683957066e+19,0,14102100,1005,0,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,285263b0,d780319b,1,0,17914,320,50,2043,2,39,100084,32,-2.1127320817497783,D,7.169348362994825,0,-0.859439978715075,-0.33836509579270396,Y,-0.4400469521137709,-0.3454118533855127,0.3404866168610269
1.0219953950036278e+18,0,14102100,1005,0,85f751fd,c4e18dd6,50e219e0,39cfef32,d9b5648e,0f2161f8,a99f214a,18190986,f4fffcd0,1,0,21611,320,50,2480,3,297,100111,61,0.3327068353829237,A,-0.290708169969756,1,0.06279521356349019,0.06293420598534236,Y,0.5519819724674815,0.7333816897923042,-0.19854198359629785
1.0234552355176743e+19,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,b66e5482,a0f5f879,1,0,15702,320,50,1722,0,35,100084,79,1.1666228224570752,A,6.319133513223555,1,-0.6752756241436394,0.7971441729096536,X,0.6408268831712867,0.29795488920944224,-0.13690904882503052
1.0379103321976832e+19,1,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,b761b0b6,711ee120,1,0,15702,320,50,1722,0,35,100084,79,-0.38662087061947026,D,-2.561219542675179,1,-0.3270835324895788,0.9974236963344073,Y,-0.7186303319602368,0.06335478376050017,0.118050490836374
1.046962409672671e+19,0,14102100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,f493aa05,24f6b932,1,0,20596,320,50,2161,0,35,-1,157,-1.029484373998682,B,0.6167790740481021,0,-0.0881349266321187,-0.48415950552303316,Y,0.3907655914814687,0.3993713845146401,0.2782069038327492
1.0487177774098203e+19,0,14102100,1005,0,85f751fd,c4e18dd6,50e219e0,fbbccc58,2347f47a,0f2161f8,a99f214a,e2b9f6ab,8f1db0bc,1,2,20345,300,250,2331,2,39,-1,23,-1.4129487073409313,A,0.667450925297306,0,0.01091421819723535,-0.6074696180613239,Y,0.21609274081860286,0.746051328484088,0.4394381811050538
1.0560803279350448e+19,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,4cd357a7,c144e605,1,0,15708,320,50,1722,0,35,-1,79,-1.841338875593166,C,-8.415390164749335,0,-0.774189168953313,-0.9575432454402308,Z,-0.23007694370907084,0.5741671600124628,-0.054030557292190855
1.0814512355727714e+19,1,14102100,1005,1,e59ef3fc,0a4015b2,335d28a8,ecad2386,7801e8d9,07d7df22,a99f214a,35d0456e,be74e6fe,1,0,18993,320,50,2161,0,35,100105,157,-1.0984055165484004,D,6.310419088603464,0,1.9306919220221672,-0.9802131867765694,Y,-0.35427812868764696,0.37233523966436277,0.32168668803250544
1.1048486714078308e+19,0,14102100,1005,0,85f751fd,c4e18dd6,50e219e0,5e3f096f,2347f47a,0f2161f8,a99f214a,78e3af7f,e8d6bd6d,1,0,18993,320,50,2161,0,35,100037,157,-0.05141411254436699,C,6.227359131640977,1,0.9204053401366186,0.44907795329218575,Z,-0.45455704398057795,-1.1769936771806215,0.5726464353174622
