Temperature,Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature,Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,Time_Period_Evening,Time_Period_Late Evening,Time_Period_Morning,Time_Period_Night,Rented Bike Count
20.3,35.0,2.4,2000.0,4.3,0.46,0.0,0.0,Autumn,Holiday,Yes,True,False,False,False,1237
25.4,55.0,3.2,2000.0,15.6,0.15,0.0,0.0,Autumn,No Holiday,Yes,True,False,False,False,2468
-6.9,39.0,1.6,2000.0,-18.5,0.0,0.0,0.0,Winter,No Holiday,Yes,False,True,False,False,186
-5.2,37.0,2.2,2000.0,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,False,False,False,True,254
23.4,34.0,2.1,2000.0,6.6,2.84,0.0,0.0,Autumn,No Holiday,Yes,False,False,False,False,1686
9.7,76.0,0.0,1308.0,5.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,False,False,False,True,157
17.4,49.0,1.2,2000.0,6.5,0.0,0.0,0.0,Autumn,Holiday,Yes,False,True,False,False,1042
18.1,60.0,0.2,2000.0,10.2,0.0,0.0,0.0,Autumn,No Holiday,No,False,False,False,True,0
36.7,33.0,1.8,1911.0,17.7,3.24,0.0,0.0,Summer,No Holiday,Yes,False,False,False,False,569
7.0,57.0,0.7,1553.0,-0.9,0.79,0.0,0.0,Autumn,No Holiday,Yes,False,False,True,False,1027
0.6,96.0,2.1,118.0,0.0,0.0,0.0,4.0,Winter,No Holiday,Yes,False,False,False,True,55
9.9,75.0,1.0,560.0,5.6,0.0,,0.0,Autumn,No Holiday,Yes,False,False,True,False,456
-15.9,34.0,2.9,2000.0,-28.2,0.0,0.0,0.5,Winter,No Holiday,Yes,False,False,False,True,41
22.6,39.0,2.8,2000.0,7.9,0.14,0.0,0.0,Autumn,No Holiday,Yes,True,False,False,False,2365
14.5,74.0,0.4,2000.0,9.9,0.0,0.0,0.0,Autumn,Holiday,Yes,False,False,False,True,1040
9.4,65.0,0.8,1659.0,3.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,False,False,False,True,202
16.5,57.0,3.8,881.0,7.9,1.55,0.0,0.0,Spring,No Holiday,Yes,False,False,False,False,629
29.8,57.0,0.8,2000.0,20.3,0.0,0.0,0.0,Summer,No Holiday,Yes,False,False,False,True,476
18.9,31.0,2.6,1936.0,1.3,2.37,0.0,0.0,Autumn,No Holiday,Yes,False,False,False,False,1767
11.6,58.0,1.4,1150.0,3.6,0.79,0.0,0.0,Spring,No Holiday,Yes,False,False,True,False,1922
7.5,37.0,0.9,813.0,-6.2,0.48,0.0,0.0,Winter,No Holiday,Yes,True,False,False,False,365
11.3,66.0,1.0,1506.0,5.1,0.0,0.0,0.0,Spring,No Holiday,Yes,False,False,False,True,239
8.0,84.0,0.7,569.0,5.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,False,False,False,True,166
