ID,возраст,семейное_положение,наличие_иждивенцев,дата_регистрации
IDF55109846,41,разведённые,1,2013-05-01
IDF54900291,45,разведённые,1,2017-12-01
IDF54995533,34,разведённые,1,2013-11-01
IDF55065581,40,нет семьи,1,2018-08-01
IDF55057353,66,разведённые,0,2018-05-01
IDF55056911,57,нет семьи,0,2013-05-01
IDF55004988,18,есть семья,0,2013-06-01
IDF54964538,27,разведённые,1,2016-07-01
IDF54930894,25,нет семьи,0,2015-09-01
IDF55079777,32,разведённые,0,2019-05-01
IDF54928995,23,нет семьи,0,2016-11-01
IDF55039326,32,разведённые,0,2015-03-01
IDF55093915,32,есть семья,0,2015-10-01
IDF55130856,59,разведённые,1,2014-03-01
IDF55056705,69,есть семья,1,2016-02-01
IDF54990767,33,разведённые,0,2013-11-01
IDF55007722,63,есть семья,0,2014-03-01
IDF55107518,21,есть семья,1,2017-06-01
IDF55017293,62,разведённые,0,2017-07-01
IDF55144903,21,нет семьи,1,2014-10-01
IDF55021911,43,нет семьи,1,2019-12-01
IDF55092188,30,нет семьи,0,2019-02-01
IDF55014574,53,есть семья,1,2013-01-01
IDF55106782,26,разведённые,0,2013-08-01
IDF55085675,44,нет семьи,1,2019-01-01
IDF54994703,19,есть семья,0,2013-06-01
IDF55143217,34,разведённые,1,2017-05-01
IDF55079604,19,нет семьи,0,2013-02-01
IDF54949500,57,есть семья,0,2016-05-01
IDF54937652,61,разведённые,1,2013-04-01
IDF55098372,48,разведённые,0,2013-10-01
IDF55014693,64,нет семьи,0,2018-10-01
IDF55080043,45,есть семья,0,2015-06-01
IDF55124398,66,нет семьи,0,2015-06-01
IDF55000586,22,нет семьи,0,2015-03-01
IDF54966294,33,разведённые,1,2013-03-01
IDF54961883,21,разведённые,0,2013-05-01
IDF55130407,23,нет семьи,0,2016-02-01
IDF54959204,35,разведённые,0,2015-10-01
IDF55085488,25,есть семья,0,2014-12-01
IDF55140512,65,есть семья,1,2018-10-01
IDF55145991,52,нет семьи,0,2019-02-01
IDF55137939,38,есть семья,1,2014-08-01
IDF54955411,19,нет семьи,0,2013-05-01
IDF55100773,44,есть семья,1,2017-04-01
IDF54973526,62,разведённые,1,2019-06-01
IDF55148819,27,есть семья,0,2017-06-01
IDF55130336,56,есть семья,0,2017-12-01
IDF55137872,54,разведённые,1,2014-12-01
IDF55064203,25,разведённые,1,2019-08-01
IDF54934486,30,есть семья,1,2015-01-01
IDF54902464,62,нет семьи,0,2016-09-01
IDF54934028,31,разведённые,0,2016-01-01
IDF54997551,64,нет семьи,0,2019-12-01
IDF54967658,37,разведённые,1,2013-09-01
IDF55136540,61,есть семья,0,2016-07-01
IDF54987410,56,нет семьи,1,2016-12-01
IDF55044422,37,разведённые,0,2018-01-01
IDF55030215,25,есть семья,0,2019-04-01
IDF55094420,65,есть семья,0,2014-05-01
IDF54899257,49,разведённые,0,2016-09-01
IDF55095714,52,нет семьи,0,2015-10-01
IDF54975005,19,нет семьи,0,2018-09-01
IDF55104554,25,разведённые,0,2019-09-01
IDF55051594,65,нет семьи,1,2017-01-01
IDF55122883,33,разведённые,1,2017-03-01
IDF54931997,63,нет семьи,0,2016-09-01
IDF55057901,54,есть семья,1,2016-06-01
IDF55057930,46,есть семья,0,2016-02-01
IDF54975659,39,разведённые,0,2016-09-01
IDF54993017,69,разведённые,0,2014-08-01
IDF55120980,63,нет семьи,0,2014-05-01
IDF55036085,25,есть семья,1,2016-03-01
IDF55020322,51,нет семьи,1,2016-10-01
IDF54995346,40,нет семьи,0,2014-10-01
IDF54934278,36,разведённые,0,2019-06-01
IDF54994887,61,есть семья,0,2016-11-01
IDF54942218,44,нет семьи,1,2013-11-01
IDF55109796,62,разведённые,0,2018-08-01
IDF55082392,21,разведённые,0,2016-08-01
IDF54929521,61,разведённые,0,2015-10-01
IDF54904046,39,есть семья,1,2015-06-01
IDF55047691,47,разведённые,0,2014-08-01
IDF54994897,34,разведённые,0,2015-07-01
IDF55026432,21,есть семья,0,2014-07-01
IDF54990483,19,разведённые,0,2016-04-01
IDF54979066,24,есть семья,1,2015-04-01
IDF54938373,56,нет семьи,1,2017-01-01
IDF55015415,54,нет семьи,0,2015-10-01
IDF55000010,34,разведённые,1,2015-01-01
IDF55092182,38,разведённые,0,2013-06-01
IDF55120931,26,разведённые,0,2014-07-01
IDF54984328,26,есть семья,1,2013-08-01
IDF55041629,33,разведённые,1,2017-11-01
IDF54922459,37,нет семьи,0,2017-10-01
IDF54974535,51,разведённые,1,2018-04-01
IDF55098650,61,нет семьи,1,2017-01-01
IDF55135795,45,разведённые,1,2014-06-01
IDF55141582,47,разведённые,0,2017-08-01
IDF54957625,34,разведённые,0,2019-07-01
IDF55112086,41,нет семьи,0,2016-08-01
