ID,score_date
IDF55109846,2013-05-01
IDF55109846,2013-06-01
IDF55109846,2013-07-01
IDF55109846,2013-08-01
IDF55109846,2013-09-01
IDF55109846,2013-10-01
IDF55109846,2013-11-01
IDF55109846,2013-12-01
IDF55109846,2014-01-01
IDF55109846,2014-02-01
IDF55109846,2014-03-01
IDF55109846,2014-04-01
IDF55109846,2014-05-01
IDF55109846,2014-06-01
IDF55109846,2014-07-01
IDF55109846,2014-08-01
IDF55109846,2014-09-01
IDF55109846,2014-10-01
IDF55109846,2014-11-01
IDF55109846,2014-12-01
IDF55109846,2015-01-01
IDF55109846,2015-02-01
IDF55109846,2015-03-01
IDF55109846,2015-04-01
IDF55109846,2015-05-01
IDF55109846,2015-06-01
IDF55109846,2015-07-01
IDF55109846,2015-08-01
IDF55109846,2015-09-01
IDF55109846,2015-10-01
IDF55109846,2015-11-01
IDF55109846,2015-12-01
IDF55109846,2016-01-01
IDF55109846,2016-02-01
IDF55109846,2016-03-01
IDF55109846,2016-04-01
IDF55109846,2016-05-01
IDF55109846,2016-06-01
IDF55109846,2016-07-01
IDF55109846,2016-08-01
IDF55109846,2016-09-01
IDF55109846,2016-10-01
IDF55109846,2016-11-01
IDF55109846,2016-12-01
IDF55109846,2017-01-01
IDF55109846,2017-02-01
IDF55109846,2017-03-01
IDF55109846,2017-04-01
IDF55109846,2017-05-01
IDF55109846,2017-06-01
IDF55109846,2017-07-01
IDF55109846,2017-08-01
IDF55109846,2017-09-01
IDF55109846,2017-10-01
IDF55109846,2017-11-01
IDF55109846,2017-12-01
IDF55109846,2018-01-01
IDF55109846,2018-02-01
IDF55109846,2018-03-01
IDF55109846,2018-04-01
IDF55109846,2018-05-01
IDF55109846,2018-06-01
IDF55109846,2018-07-01
IDF55109846,2018-08-01
IDF55109846,2018-09-01
IDF55109846,2018-10-01
IDF55109846,2018-11-01
IDF55109846,2018-12-01
IDF55109846,2019-01-01
IDF55109846,2019-02-01
IDF55109846,2019-03-01
IDF55109846,2019-04-01
IDF55109846,2019-05-01
IDF55109846,2019-06-01
IDF55109846,2019-07-01
IDF55109846,2019-08-01
IDF55109846,2019-09-01
IDF55109846,2019-10-01
IDF55109846,2019-11-01
IDF55109846,2019-12-01
IDF54900291,2017-12-01
IDF54900291,2018-01-01
IDF54900291,2018-02-01
IDF54900291,2018-03-01
IDF54900291,2018-04-01
IDF54900291,2018-05-01
IDF54900291,2018-06-01
IDF54900291,2018-07-01
IDF54900291,2018-08-01
IDF54900291,2018-09-01
IDF54900291,2018-10-01
IDF54900291,2018-11-01
IDF54900291,2018-12-01
IDF54900291,2019-01-01
IDF54900291,2019-02-01
IDF54900291,2019-03-01
IDF54900291,2019-04-01
IDF54900291,2019-05-01
IDF54900291,2019-06-01
IDF54900291,2019-07-01
IDF54900291,2019-08-01
IDF54900291,2019-09-01
IDF54900291,2019-10-01
IDF54900291,2019-11-01
IDF54900291,2019-12-01
IDF54995533,2013-11-01
IDF54995533,2013-12-01
IDF54995533,2014-01-01
IDF54995533,2014-02-01
IDF54995533,2014-03-01
IDF54995533,2014-04-01
IDF54995533,2014-05-01
IDF54995533,2014-06-01
IDF54995533,2014-07-01
IDF54995533,2014-08-01
IDF54995533,2014-09-01
IDF54995533,2014-10-01
IDF54995533,2014-11-01
IDF54995533,2014-12-01
IDF54995533,2015-01-01
IDF54995533,2015-02-01
IDF54995533,2015-03-01
IDF54995533,2015-04-01
IDF54995533,2015-05-01
IDF54995533,2015-06-01
IDF54995533,2015-07-01
IDF54995533,2015-08-01
IDF54995533,2015-09-01
IDF54995533,2015-10-01
IDF54995533,2015-11-01
IDF54995533,2015-12-01
IDF54995533,2016-01-01
IDF54995533,2016-02-01
IDF54995533,2016-03-01
IDF54995533,2016-04-01
IDF54995533,2016-05-01
IDF54995533,2016-06-01
IDF54995533,2016-07-01
IDF54995533,2016-08-01
IDF54995533,2016-09-01
IDF54995533,2016-10-01
IDF54995533,2016-11-01
IDF54995533,2016-12-01
IDF54995533,2017-01-01
IDF54995533,2017-02-01
IDF54995533,2017-03-01
IDF54995533,2017-04-01
IDF54995533,2017-05-01
IDF54995533,2017-06-01
IDF54995533,2017-07-01
IDF54995533,2017-08-01
IDF54995533,2017-09-01
IDF54995533,2017-10-01
IDF54995533,2017-11-01
IDF54995533,2017-12-01
IDF54995533,2018-01-01
IDF54995533,2018-02-01
IDF54995533,2018-03-01
IDF54995533,2018-04-01
IDF54995533,2018-05-01
IDF54995533,2018-06-01
IDF54995533,2018-07-01
IDF54995533,2018-08-01
IDF54995533,2018-09-01
IDF54995533,2018-10-01
IDF54995533,2018-11-01
IDF54995533,2018-12-01
IDF54995533,2019-01-01
IDF54995533,2019-02-01
IDF54995533,2019-03-01
IDF54995533,2019-04-01
IDF54995533,2019-05-01
IDF54995533,2019-06-01
IDF54995533,2019-07-01
IDF54995533,2019-08-01
IDF54995533,2019-09-01
IDF54995533,2019-10-01
IDF54995533,2019-11-01
IDF54995533,2019-12-01
IDF55065581,2018-08-01
IDF55065581,2018-09-01
IDF55065581,2018-10-01
IDF55065581,2018-11-01
IDF55065581,2018-12-01
IDF55065581,2019-01-01
IDF55065581,2019-02-01
IDF55065581,2019-03-01
IDF55065581,2019-04-01
IDF55065581,2019-05-01
IDF55065581,2019-06-01
IDF55065581,2019-07-01
IDF55065581,2019-08-01
IDF55065581,2019-09-01
IDF55065581,2019-10-01
IDF55065581,2019-11-01
IDF55065581,2019-12-01
IDF55057353,2018-05-01
IDF55057353,2018-06-01
IDF55057353,2018-07-01
IDF55057353,2018-08-01
IDF55057353,2018-09-01
IDF55057353,2018-10-01
IDF55057353,2018-11-01
IDF55057353,2018-12-01
IDF55057353,2019-01-01
IDF55057353,2019-02-01
IDF55057353,2019-03-01
IDF55057353,2019-04-01
IDF55057353,2019-05-01
IDF55057353,2019-06-01
IDF55057353,2019-07-01
IDF55057353,2019-08-01
IDF55057353,2019-09-01
IDF55057353,2019-10-01
IDF55057353,2019-11-01
IDF55057353,2019-12-01
IDF55056911,2013-05-01
IDF55056911,2013-06-01
IDF55056911,2013-07-01
IDF55056911,2013-08-01
IDF55056911,2013-09-01
IDF55056911,2013-10-01
IDF55056911,2013-11-01
IDF55056911,2013-12-01
IDF55056911,2014-01-01
IDF55056911,2014-02-01
IDF55056911,2014-03-01
IDF55056911,2014-04-01
IDF55056911,2014-05-01
IDF55056911,2014-06-01
IDF55056911,2014-07-01
IDF55056911,2014-08-01
IDF55056911,2014-09-01
IDF55056911,2014-10-01
IDF55056911,2014-11-01
IDF55056911,2014-12-01
IDF55056911,2015-01-01
IDF55056911,2015-02-01
IDF55056911,2015-03-01
IDF55056911,2015-04-01
IDF55056911,2015-05-01
IDF55056911,2015-06-01
IDF55056911,2015-07-01
IDF55056911,2015-08-01
IDF55056911,2015-09-01
IDF55056911,2015-10-01
IDF55056911,2015-11-01
IDF55056911,2015-12-01
IDF55056911,2016-01-01
IDF55056911,2016-02-01
IDF55056911,2016-03-01
IDF55056911,2016-04-01
IDF55056911,2016-05-01
IDF55056911,2016-06-01
IDF55056911,2016-07-01
IDF55056911,2016-08-01
IDF55056911,2016-09-01
IDF55056911,2016-10-01
IDF55056911,2016-11-01
IDF55056911,2016-12-01
IDF55056911,2017-01-01
IDF55056911,2017-02-01
IDF55056911,2017-03-01
IDF55056911,2017-04-01
IDF55056911,2017-05-01
IDF55056911,2017-06-01
IDF55056911,2017-07-01
IDF55056911,2017-08-01
IDF55056911,2017-09-01
IDF55056911,2017-10-01
IDF55056911,2017-11-01
IDF55056911,2017-12-01
IDF55056911,2018-01-01
IDF55056911,2018-02-01
IDF55056911,2018-03-01
IDF55056911,2018-04-01
IDF55056911,2018-05-01
IDF55056911,2018-06-01
IDF55056911,2018-07-01
IDF55056911,2018-08-01
IDF55056911,2018-09-01
IDF55056911,2018-10-01
IDF55056911,2018-11-01
IDF55056911,2018-12-01
IDF55056911,2019-01-01
IDF55056911,2019-02-01
IDF55056911,2019-03-01
IDF55056911,2019-04-01
IDF55056911,2019-05-01
IDF55056911,2019-06-01
IDF55056911,2019-07-01
IDF55056911,2019-08-01
IDF55056911,2019-09-01
IDF55056911,2019-10-01
IDF55056911,2019-11-01
IDF55056911,2019-12-01
IDF55004988,2013-06-01
IDF55004988,2013-07-01
IDF55004988,2013-08-01
IDF55004988,2013-09-01
IDF55004988,2013-10-01
IDF55004988,2013-11-01
IDF55004988,2013-12-01
IDF55004988,2014-01-01
IDF55004988,2014-02-01
IDF55004988,2014-03-01
IDF55004988,2014-04-01
IDF55004988,2014-05-01
IDF55004988,2014-06-01
IDF55004988,2014-07-01
IDF55004988,2014-08-01
IDF55004988,2014-09-01
IDF55004988,2014-10-01
IDF55004988,2014-11-01
IDF55004988,2014-12-01
IDF55004988,2015-01-01
IDF55004988,2015-02-01
IDF55004988,2015-03-01
IDF55004988,2015-04-01
IDF55004988,2015-05-01
IDF55004988,2015-06-01
IDF55004988,2015-07-01
IDF55004988,2015-08-01
IDF55004988,2015-09-01
IDF55004988,2015-10-01
IDF55004988,2015-11-01
IDF55004988,2015-12-01
IDF55004988,2016-01-01
IDF55004988,2016-02-01
IDF55004988,2016-03-01
IDF55004988,2016-04-01
IDF55004988,2016-05-01
IDF55004988,2016-06-01
IDF55004988,2016-07-01
IDF55004988,2016-08-01
IDF55004988,2016-09-01
IDF55004988,2016-10-01
IDF55004988,2016-11-01
IDF55004988,2016-12-01
IDF55004988,2017-01-01
IDF55004988,2017-02-01
IDF55004988,2017-03-01
IDF55004988,2017-04-01
IDF55004988,2017-05-01
IDF55004988,2017-06-01
IDF55004988,2017-07-01
IDF55004988,2017-08-01
IDF55004988,2017-09-01
IDF55004988,2017-10-01
IDF55004988,2017-11-01
IDF55004988,2017-12-01
IDF55004988,2018-01-01
IDF55004988,2018-02-01
IDF55004988,2018-03-01
IDF55004988,2018-04-01
IDF55004988,2018-05-01
IDF55004988,2018-06-01
IDF55004988,2018-07-01
IDF55004988,2018-08-01
IDF55004988,2018-09-01
IDF55004988,2018-10-01
IDF55004988,2018-11-01
IDF55004988,2018-12-01
IDF55004988,2019-01-01
IDF55004988,2019-02-01
IDF55004988,2019-03-01
IDF55004988,2019-04-01
IDF55004988,2019-05-01
IDF55004988,2019-06-01
IDF55004988,2019-07-01
IDF55004988,2019-08-01
IDF55004988,2019-09-01
IDF55004988,2019-10-01
IDF55004988,2019-11-01
IDF55004988,2019-12-01
IDF54964538,2016-07-01
IDF54964538,2016-08-01
IDF54964538,2016-09-01
IDF54964538,2016-10-01
IDF54964538,2016-11-01
IDF54964538,2016-12-01
IDF54964538,2017-01-01
IDF54964538,2017-02-01
IDF54964538,2017-03-01
IDF54964538,2017-04-01
IDF54964538,2017-05-01
IDF54964538,2017-06-01
IDF54964538,2017-07-01
IDF54964538,2017-08-01
IDF54964538,2017-09-01
IDF54964538,2017-10-01
IDF54964538,2017-11-01
IDF54964538,2017-12-01
IDF54964538,2018-01-01
IDF54964538,2018-02-01
IDF54964538,2018-03-01
IDF54964538,2018-04-01
IDF54964538,2018-05-01
IDF54964538,2018-06-01
IDF54964538,2018-07-01
IDF54964538,2018-08-01
IDF54964538,2018-09-01
IDF54964538,2018-10-01
IDF54964538,2018-11-01
IDF54964538,2018-12-01
IDF54964538,2019-01-01
IDF54964538,2019-02-01
IDF54964538,2019-03-01
IDF54964538,2019-04-01
IDF54964538,2019-05-01
IDF54964538,2019-06-01
IDF54964538,2019-07-01
IDF54964538,2019-08-01
IDF54964538,2019-09-01
IDF54964538,2019-10-01
IDF54964538,2019-11-01
IDF54964538,2019-12-01
IDF54930894,2015-09-01
IDF54930894,2015-10-01
IDF54930894,2015-11-01
IDF54930894,2015-12-01
IDF54930894,2016-01-01
IDF54930894,2016-02-01
IDF54930894,2016-03-01
IDF54930894,2016-04-01
IDF54930894,2016-05-01
IDF54930894,2016-06-01
IDF54930894,2016-07-01
IDF54930894,2016-08-01
IDF54930894,2016-09-01
IDF54930894,2016-10-01
IDF54930894,2016-11-01
IDF54930894,2016-12-01
IDF54930894,2017-01-01
IDF54930894,2017-02-01
IDF54930894,2017-03-01
IDF54930894,2017-04-01
IDF54930894,2017-05-01
IDF54930894,2017-06-01
IDF54930894,2017-07-01
IDF54930894,2017-08-01
IDF54930894,2017-09-01
IDF54930894,2017-10-01
IDF54930894,2017-11-01
IDF54930894,2017-12-01
IDF54930894,2018-01-01
IDF54930894,2018-02-01
IDF54930894,2018-03-01
IDF54930894,2018-04-01
IDF54930894,2018-05-01
IDF54930894,2018-06-01
IDF54930894,2018-07-01
IDF54930894,2018-08-01
IDF54930894,2018-09-01
IDF54930894,2018-10-01
IDF54930894,2018-11-01
IDF54930894,2018-12-01
IDF54930894,2019-01-01
IDF54930894,2019-02-01
IDF54930894,2019-03-01
IDF54930894,2019-04-01
IDF54930894,2019-05-01
IDF54930894,2019-06-01
IDF54930894,2019-07-01
IDF54930894,2019-08-01
IDF54930894,2019-09-01
IDF54930894,2019-10-01
IDF54930894,2019-11-01
IDF54930894,2019-12-01
IDF55079777,2019-05-01
IDF55079777,2019-06-01
IDF55079777,2019-07-01
IDF55079777,2019-08-01
IDF55079777,2019-09-01
IDF55079777,2019-10-01
IDF55079777,2019-11-01
IDF55079777,2019-12-01
