ID,доход,сумма_кредита
IDF55109846,27035,1960785
IDF54900291,64502,3375810
IDF54995533,90477,401700
IDF55065581,133475,1952655
IDF55057353,51324,1107870
IDF55056911,50694,3366645
IDF55004988,124937,3463710
IDF54964538,71714,2688255
IDF54930894,75458,3509910
IDF55079777,35532,2196735
IDF54928995,141529,176505
IDF55039326,112214,376305
IDF55093915,60623,2699175
IDF55130856,99718,3214980
IDF55056705,77605,2426595
IDF54990767,79938,2441865
IDF55007722,66786,3314325
IDF55107518,37233,582435
IDF55017293,72330,2452740
IDF55144903,118653,2330940
IDF55021911,145313,1065960
IDF55092188,136990,2672940
IDF55014574,54777,3115530
IDF55106782,67040,3154680
IDF55085675,58133,529995
IDF54994703,102857,2312070
IDF55143217,85822,2788665
IDF55079604,80753,3632205
IDF54949500,41503,1837410
IDF54937652,139573,2561220
IDF55098372,72483,3471900
IDF55014693,44008,353700
IDF55080043,42971,241890
IDF55124398,43769,1592445
IDF55000586,20533,2604630
IDF54966294,63741,2473980
IDF54961883,118093,606600
IDF55130407,144944,423675
IDF54959204,81291,1118985
IDF55085488,49803,1087275
IDF55140512,30108,2957025
IDF55145991,72001,3316875
IDF55137939,86101,639480
IDF54955411,148747,3376185
IDF55100773,131482,684885
IDF54973526,78074,1433205
IDF55148819,61654,3130950
IDF55130336,78981,3502335
IDF55137872,22559,2077725
IDF55064203,67048,1958025
IDF54934486,23394,3364410
IDF54902464,76438,225510
IDF54934028,71876,1174770
IDF54997551,41165,1167075
IDF54967658,57455,3424635
IDF55136540,68397,1699485
IDF54987410,29463,3433410
IDF55044422,88196,2356425
IDF55030215,130508,1051785
IDF55094420,24353,3742830
IDF54899257,101253,3716730
IDF55095714,126066,714105
IDF54975005,65497,664950
IDF55104554,19535,3347805
IDF55051594,53679,2615670
IDF55122883,31605,1683480
IDF54931997,139339,1582590
IDF55057901,128103,3601995
IDF55057930,122350,3676755
IDF54975659,33168,1366860
IDF54993017,117605,3516060
IDF55120980,42643,1323960
IDF55036085,36357,379605
IDF55020322,115700,2998110
IDF54995346,49976,2599290
IDF54934278,76764,864405
IDF54994887,133659,1564875
IDF54942218,89172,1813545
IDF55109796,93490,3018765
IDF55082392,17078,1038870
IDF54929521,134759,1106835
IDF54904046,89958,2662575
IDF55047691,16880,149340
IDF54994897,33248,3710910
IDF55026432,149107,1493340
IDF54990483,106736,614460
IDF54979066,30063,208245
IDF54938373,133973,3436665
IDF55015415,79462,458175
IDF55000010,137048,2176155
IDF55092182,147968,3474675
IDF55120931,67813,1527990
IDF54984328,109406,970860
IDF55041629,75356,2818980
IDF54922459,131921,2077470
IDF54974535,82793,1138440
IDF55098650,43120,2805315
IDF55135795,96850,1980450
IDF55141582,38373,529350
IDF54957625,18644,2614950
IDF55112086,114251,424275
IDF55103571,111662,92760
IDF55120159,106932,3432150
IDF55039012,45526,1346010
IDF55093012,39817,3641955
IDF55017003,43450,3188010
IDF54960977,138210,96270
