ID,date,кредитный_рейтинг
IDF55109846,2013-05-01,692
IDF55109846,2013-06-01,688
IDF55109846,2013-07-01,666
IDF55109846,2013-08-01,692
IDF55109846,2013-09-01,688
IDF55109846,2013-10-01,669
IDF55109846,2013-11-01,658
IDF55109846,2013-12-01,656
IDF55109846,2014-01-01,655
IDF55109846,2014-02-01,668
IDF55109846,2014-03-01,663
IDF55109846,2014-04-01,660
IDF55109846,2014-05-01,668
IDF55109846,2014-06-01,679
IDF55109846,2014-07-01,674
IDF55109846,2014-08-01,671
IDF55109846,2014-09-01,650
IDF55109846,2014-10-01,632
IDF55109846,2014-11-01,627
IDF55109846,2014-12-01,610
IDF55109846,2015-01-01,594
IDF55109846,2015-02-01,591
IDF55109846,2015-03-01,579
IDF55109846,2015-04-01,563
IDF55109846,2015-05-01,564
IDF55109846,2015-06-01,576
IDF55109846,2015-07-01,571
IDF55109846,2015-08-01,573
IDF55109846,2015-09-01,588
IDF55109846,2015-10-01,581
IDF55109846,2015-11-01,573
IDF55109846,2015-12-01,571
IDF55109846,2016-01-01,573
IDF55109846,2016-02-01,583
IDF55109846,2016-03-01,577
IDF55109846,2016-04-01,567
IDF55109846,2016-05-01,580
IDF55109846,2016-06-01,575
IDF55109846,2016-07-01,572
IDF55109846,2016-08-01,591
IDF55109846,2016-09-01,586
IDF55109846,2016-10-01,581
IDF55109846,2016-11-01,585
IDF55109846,2016-12-01,579
IDF55109846,2017-01-01,574
IDF55109846,2017-02-01,574
IDF55109846,2017-03-01,578
IDF55109846,2017-04-01,584
IDF55109846,2017-05-01,593
IDF55109846,2017-06-01,592
IDF55109846,2017-07-01,605
IDF55109846,2017-08-01,602
IDF55109846,2017-09-01,585
IDF55109846,2017-10-01,591
IDF55109846,2017-11-01,585
IDF55109846,2017-12-01,570
IDF55109846,2018-01-01,581
IDF55109846,2018-02-01,588
IDF55109846,2018-03-01,592
IDF55109846,2018-04-01,603
IDF55109846,2018-05-01,592
IDF55109846,2018-06-01,581
IDF55109846,2018-07-01,573
IDF55109846,2018-08-01,568
