ID,дата_начала_периода,просрочка_дней
IDF55109846,2014-12-01,120
IDF54995533,2015-06-01,121
IDF54964538,2018-03-01,87
IDF55079777,2019-09-01,109
IDF55093915,2017-02-01,84
IDF55130856,2015-09-01,83
IDF54990767,2014-12-01,101
IDF55107518,2018-11-01,112
IDF55021911,2019-12-01,105
IDF55106782,2014-09-01,146
IDF54994703,2015-01-01,124
IDF55098372,2015-03-01,134
IDF55000586,2016-10-01,134
IDF54959204,2016-12-01,142
IDF55140512,2019-05-01,142
IDF54955411,2014-12-01,109
IDF55100773,2018-10-01,110
IDF55148819,2018-08-01,95
IDF55130336,2018-12-01,146
IDF55137872,2016-01-01,88
IDF54934486,2016-01-01,100
IDF54997551,2019-12-01,103
IDF54987410,2018-03-01,134
IDF55030215,2019-08-01,104
IDF55094420,2015-10-01,101
IDF55104554,2019-11-01,147
IDF55122883,2018-01-01,106
IDF54975659,2017-08-01,94
IDF55036085,2017-05-01,148
IDF55020322,2018-05-01,107
IDF54934278,2019-09-01,148
IDF55082392,2017-11-01,97
IDF54994897,2016-06-01,123
IDF55026432,2015-06-01,87
IDF54990483,2017-08-01,138
IDF54979066,2016-06-01,147
IDF54984328,2014-12-01,109
IDF55098650,2018-09-01,80
IDF55112086,2017-12-01,125
IDF55093012,2019-02-01,123
IDF54994660,2019-02-01,138
IDF55088874,2016-05-01,116
IDF55135934,2014-02-01,88
IDF54981910,2015-12-01,142
IDF54968773,2014-06-01,132
IDF54985369,2015-07-01,88
IDF54942324,2015-03-01,84
IDF54973904,2017-01-01,141
IDF54966931,2016-11-01,141
IDF54964405,2019-04-01,106
IDF54917135,2019-11-01,123
IDF55061608,2015-05-01,112
IDF55100738,2017-11-01,85
IDF54896685,2017-11-01,136
IDF55095698,2018-11-01,121
IDF55087501,2018-08-01,126
IDF55029739,2015-07-01,117
IDF54901864,2015-06-01,84
IDF55028296,2019-05-01,99
IDF54907543,2015-07-01,118
IDF54946578,2014-09-01,134
IDF55051585,2018-02-01,93
IDF55083006,2016-01-01,90
IDF55013403,2014-10-01,105
IDF54931666,2016-12-01,122
IDF55148133,2018-08-01,116
IDF54904457,2016-04-01,94
IDF55070282,2019-12-01,103
IDF55034471,2018-06-01,130
IDF54938230,2018-10-01,94
IDF54922512,2018-05-01,93
IDF55037005,2015-05-01,120
IDF55082325,2017-04-01,121
IDF54972519,2018-06-01,131
IDF55104761,2019-07-01,131
IDF55051126,2015-12-01,131
IDF55087384,2018-10-01,87
IDF54941148,2019-12-01,138
IDF55080780,2019-06-01,145
IDF55078631,2018-09-01,129
IDF55144404,2018-02-01,83
IDF54973232,2015-05-01,88
IDF54929072,2014-08-01,147
IDF54917160,2018-10-01,85
IDF55066913,2016-11-01,122
IDF54912770,2017-10-01,106
IDF54917467,2019-09-01,118
IDF55105668,2019-11-01,150
IDF55129955,2014-09-01,83
IDF54955245,2019-08-01,96
IDF55072840,2014-04-01,148
IDF54981354,2016-02-01,117
IDF55147644,2019-08-01,120
IDF54903053,2019-11-01,110
IDF55072384,2019-02-01,115
IDF55076173,2015-03-01,110
IDF54951325,2018-12-01,89
IDF54955565,2017-05-01,115
IDF55024020,2018-07-01,128
IDF55044876,2017-03-01,128
IDF54911104,2016-04-01,136
IDF55115860,2019-09-01,87
IDF55061323,2017-02-01,127
IDF55133403,2019-11-01,122
IDF54979600,2019-04-01,88
IDF54900019,2015-03-01,104
IDF55048488,2019-10-01,104
IDF55142599,2019-06-01,127
IDF55033468,2017-10-01,90
IDF55067634,2019-12-01,124
IDF55085207,2018-11-01,139
IDF54987953,2017-01-01,106
IDF54917490,2019-03-01,100
IDF55013964,2015-01-01,87
IDF54964214,2015-02-01,143
IDF54921750,2017-07-01,130
IDF55150476,2018-06-01,109
IDF55111772,2014-11-01,124
IDF55079429,2016-09-01,106
IDF55046877,2016-03-01,99
IDF54979003,2014-09-01,131
IDF55136976,2014-04-01,134
IDF55021205,2014-09-01,138
IDF55151667,2017-07-01,116
IDF55019116,2017-10-01,96
IDF55010015,2019-09-01,137
IDF55066631,2016-03-01,131
IDF55008754,2015-01-01,140
IDF55020076,2014-11-01,136
IDF55040342,2015-11-01,109
IDF55060170,2018-02-01,138
IDF55139958,2014-11-01,150
IDF54936654,2018-11-01,98
IDF55090965,2015-09-01,102
IDF55059825,2019-09-01,90
IDF54905498,2015-01-01,92
IDF54899653,2018-10-01,124
IDF55111607,2015-08-01,103
IDF55010246,2015-09-01,139
IDF54917977,2015-04-01,87
IDF55031369,2018-11-01,142
IDF54902708,2018-11-01,105
IDF54966755,2019-10-01,150
IDF55145852,2017-04-01,128
IDF54967452,2016-04-01,105
IDF54981125,2017-04-01,147
IDF55097364,2019-04-01,103
IDF54937849,2018-02-01,88
IDF55025579,2019-02-01,98
IDF55006505,2015-06-01,95
IDF55087027,2018-12-01,92
IDF54948455,2016-02-01,94
IDF55119392,2019-02-01,122
IDF55014216,2014-01-01,136
IDF55019235,2014-07-01,119
IDF54989193,2015-01-01,104
IDF55045857,2019-08-01,89
IDF54976544,2019-06-01,150
IDF55109399,2019-02-01,88
IDF54990322,2016-09-01,109
IDF55013651,2018-12-01,147
IDF55115335,2019-12-01,104
IDF55087497,2016-11-01,115
IDF55151042,2017-01-01,126
IDF55134500,2015-05-01,112
IDF55071556,2019-07-01,118
IDF54981885,2016-08-01,106
IDF55072708,2019-04-01,98
IDF54910957,2019-11-01,123
IDF54963821,2015-12-01,84
IDF55120295,2019-08-01,94
IDF54899195,2019-07-01,107
IDF54989308,2015-07-01,87
IDF54936612,2017-06-01,114
IDF55054206,2017-06-01,143
IDF55016659,2016-02-01,100
IDF55068856,2016-02-01,139
IDF55101986,2019-07-01,97
IDF54936512,2016-04-01,93
IDF55027100,2017-03-01,118
IDF55059500,2014-10-01,141
IDF54902770,2016-10-01,106
IDF54987825,2017-05-01,102
IDF54896355,2018-10-01,85
IDF54998258,2018-02-01,145
IDF54931455,2017-06-01,112
