ID,дата_открытия,наличие_ипотеки
IDF54896351,2013-03-01,1
IDF54896367,2018-01-01,1
IDF54896414,2018-02-01,1
IDF54896494,2019-02-01,1
IDF54896615,2018-12-01,1
IDF54896662,2019-12-01,1
IDF54896677,2016-07-01,1
IDF54896759,2015-08-01,1
IDF54896833,2016-01-01,1
IDF54896852,2015-06-01,1
IDF54896892,2016-10-01,1
IDF54896935,2019-09-01,1
IDF54897066,2014-12-01,1
IDF54897126,2015-10-01,1
IDF54897139,2013-01-01,1
IDF54897202,2013-12-01,1
IDF54897243,2018-05-01,1
IDF54897341,2016-06-01,1
IDF54897371,2013-03-01,1
IDF54897415,2013-01-01,1
IDF54897416,2014-10-01,1
IDF54897432,2015-08-01,1
IDF54897461,2015-02-01,1
IDF54897528,2019-06-01,1
IDF54897587,2017-04-01,1
IDF54897622,2018-09-01,1
IDF54897674,2015-07-01,1
IDF54897741,2019-08-01,1
IDF54897762,2018-07-01,1
IDF54897822,2016-12-01,1
IDF54897861,2019-05-01,1
IDF54897919,2018-10-01,1
IDF54897929,2015-12-01,1
IDF54897975,2016-07-01,1
IDF54897987,2016-05-01,1
IDF54898000,2018-01-01,1
IDF54898136,2013-06-01,1
IDF54898198,2019-08-01,1
IDF54898230,2016-01-01,1
IDF54898248,2013-01-01,1
IDF54898257,2018-08-01,1
IDF54898309,2015-11-01,1
IDF54898326,2018-09-01,1
IDF54898329,2015-10-01,1
IDF54898406,2017-12-01,1
IDF54898555,2017-12-01,1
IDF54898562,2014-02-01,1
IDF54898566,2015-02-01,1
IDF54898583,2019-01-01,1
IDF54898696,2017-03-01,1
IDF54898697,2016-02-01,1
IDF54898719,2014-08-01,1
IDF54898734,2017-09-01,1
IDF54898782,2014-01-01,1
IDF54898788,2017-10-01,1
IDF54898812,2019-05-01,1
IDF54898903,2013-03-01,1
IDF54898932,2018-02-01,1
IDF54898951,2017-12-01,1
IDF54898967,2017-04-01,1
IDF54899045,2015-08-01,1
IDF54899095,2018-06-01,1
IDF54899144,2017-06-01,1
IDF54899166,2014-08-01,1
IDF54899178,2019-11-01,1
IDF54899195,2019-02-01,1
IDF54899256,2014-05-01,1
IDF54899257,2016-09-01,1
IDF54899307,2015-02-01,1
IDF54899416,2014-12-01,1
IDF54899429,2014-07-01,1
IDF54899494,2013-08-01,1
IDF54899515,2018-06-01,1
IDF54899542,2014-05-01,1
IDF54899582,2018-07-01,1
IDF54899653,2017-07-01,1
IDF54899679,2017-07-01,1
IDF54899724,2017-08-01,1
IDF54899739,2014-04-01,1
IDF54899758,2017-10-01,1
IDF54899812,2019-08-01,1
IDF54899850,2013-02-01,1
IDF54899919,2013-04-01,1
IDF54899956,2018-07-01,1
IDF54899994,2015-05-01,1
IDF54900019,2014-04-01,1
IDF54900047,2013-12-01,1
IDF54900067,2019-06-01,1
IDF54900071,2016-01-01,1
IDF54900090,2017-06-01,1
IDF54900141,2014-03-01,1
IDF54900167,2019-04-01,1
IDF54900169,2016-11-01,1
IDF54900246,2013-08-01,1
IDF54900249,2013-02-01,1
IDF54900261,2013-01-01,1
IDF54900264,2013-08-01,1
IDF54900278,2014-07-01,1
IDF54900291,2017-12-01,1
IDF54900399,2019-10-01,1
IDF54900486,2014-09-01,1
IDF54900495,2014-03-01,1
IDF54900522,2014-10-01,1
IDF54900542,2014-03-01,1
IDF54900691,2015-09-01,1
IDF54900736,2017-09-01,1
IDF54900738,2019-05-01,1
IDF54900751,2015-10-01,1
IDF54900753,2019-08-01,1
IDF54900802,2015-02-01,1
IDF54900810,2017-10-01,1
IDF54900819,2015-06-01,1
IDF54900833,2017-04-01,1
IDF54900843,2017-02-01,1
IDF54900851,2019-10-01,1
IDF54900859,2014-02-01,1
IDF54900861,2017-04-01,1
IDF54900898,2013-08-01,1
IDF54900899,2013-09-01,1
IDF54900955,2019-05-01,1
IDF54901092,2019-07-01,1
IDF54901186,2017-06-01,1
IDF54901261,2016-10-01,1
IDF54901313,2018-01-01,1
IDF54901327,2015-04-01,1
IDF54901362,2014-09-01,1
IDF54901395,2018-09-01,1
IDF54901434,2013-10-01,1
IDF54901480,2018-05-01,1
IDF54901510,2016-11-01,1
IDF54901544,2013-01-01,1
IDF54901552,2015-01-01,1
IDF54901636,2018-01-01,1
IDF54901708,2016-02-01,1
IDF54901721,2015-04-01,1
IDF54901788,2017-08-01,1
IDF54901913,2015-11-01,1
IDF54901940,2016-06-01,1
IDF54901958,2019-09-01,1
IDF54901982,2013-03-01,1
IDF54901986,2018-10-01,1
IDF54901996,2014-02-01,1
IDF54902044,2018-06-01,1
IDF54902083,2019-02-01,1
IDF54902247,2016-03-01,1
IDF54902378,2016-09-01,1
IDF54902459,2016-02-01,1
IDF54902556,2017-07-01,1
IDF54902652,2016-12-01,1
IDF54902678,2016-11-01,1
IDF54902710,2019-10-01,1
IDF54902757,2019-08-01,1
IDF54902768,2019-04-01,1
IDF54902770,2015-03-01,1
IDF54902773,2016-02-01,1
IDF54902811,2019-05-01,1
IDF54902889,2019-11-01,1
IDF54902912,2013-11-01,1
IDF54902943,2017-02-01,1
IDF54902944,2016-02-01,1
IDF54902952,2013-09-01,1
IDF54903053,2019-09-01,1
IDF54903060,2014-06-01,1
IDF54903122,2014-08-01,1
IDF54903219,2015-05-01,1
IDF54903377,2016-03-01,1
IDF54903390,2015-05-01,1
IDF54903406,2014-03-01,1
IDF54903441,2019-02-01,1
IDF54903444,2018-04-01,1
IDF54903492,2016-11-01,1
IDF54903495,2018-12-01,1
IDF54903546,2014-05-01,1
IDF54903560,2019-11-01,1
IDF54903564,2019-12-01,1
IDF54903628,2019-02-01,1
