iter	RMSE
0	255009.2993
1	242702.2846
2	234672.6545
3	227497.3007
4	220596.3357
5	209915.8226
6	202657.5695
7	199145.182
8	192681.7838
9	184716.4836
10	179564.5209
11	175012.7676
12	171323.4576
13	168179.8053
14	166900.3561
15	161262.6449
16	159375.4047
17	155641.4199
18	152157.3526
19	150042.4158
20	147147.7751
21	143464.4526
22	140385.1434
23	137786.8796
24	135873.286
25	133083.9247
26	131594.5048
27	128491.1723
28	126508.6754
29	124732.2918
30	122754.2019
31	120437.9771
32	119022.1434
33	117769.2714
34	115979.6591
35	114458.4713
36	113140.8815
37	112113.2394
38	111094.1727
39	110336.6135
40	109383.284
41	108427.245
42	107532.7238
43	106900.3142
44	106093.3465
45	105471.3488
46	104704.4364
47	104147.6767
48	103516.4905
49	102900.6423
50	102379.1896
51	101866.188
52	101418.8618
53	101107.9228
54	100670.7138
55	100293.0276
56	100031.1565
57	99908.69271
58	99524.11047
59	99312.60231
60	99005.86022
61	98707.61762
62	98464.33055
63	98270.64173
64	98107.595
65	97877.62443
66	97687.50017
67	97479.44746
68	97287.25033
69	97145.5911
70	96970.50237
71	96791.43013
72	96643.39328
73	96517.78356
74	96351.39428
75	96254.19347
76	96137.26484
77	96059.27506
78	95911.49277
79	95837.57631
80	95760.11042
81	95669.98
82	95583.14403
83	95495.66639
84	95422.9258
85	95352.64045
86	95320.2035
87	95253.93903
88	95166.00919
89	95067.11866
90	95023.51165
91	94942.36754
92	94873.75042
93	94836.10743
94	94791.56413
95	94791.56409
96	94724.47402
97	94676.14245
98	94630.74738
99	94591.72843
100	94533.81985
101	94504.71419
102	94445.57696
103	94405.38131
104	94367.99242
105	94320.23954
106	94279.03115
107	94252.64031
108	94220.08993
109	94219.45971
110	94187.34928
111	94165.56745
112	94125.83418
113	94091.14968
114	94049.47688
115	94010.6034
116	93984.79869
117	93968.25667
118	93940.28522
119	93923.12379
120	93913.90171
121	93883.87837
122	93860.38852
123	93832.98932
124	93810.86377
125	93783.70161
126	93773.8202
127	93758.30775
128	93752.89279
129	93749.99376
130	93731.44718
131	93714.3439
132	93700.53379
133	93672.51566
134	93658.57252
135	93646.11019
136	93625.18977
137	93624.01731
138	93598.78785
139	93584.42696
140	93579.78509
141	93559.33862
142	93552.46267
143	93546.50046
144	93542.55366
145	93532.23738
146	93526.29831
147	93512.96188
148	93507.05478
149	93491.61523
150	93483.93449
151	93479.64492
152	93472.77305
153	93446.86872
154	93437.65568
