iter	Passed	Remaining
0	5	11176
1	10	10143
2	19	12476
3	25	12116
4	33	12702
5	40	12824
6	48	13019
7	53	12689
8	59	12530
9	66	12594
10	76	13092
11	85	13516
12	113	16423
13	120	16249
14	127	16086
15	134	15890
16	141	15692
17	146	15340
18	157	15622
19	184	17349
20	195	17511
21	207	17698
22	218	17885
23	245	19235
24	255	19207
25	265	19128
26	270	18806
27	277	18554
28	284	18404
29	317	19837
30	327	19766
31	343	20088
32	354	20095
33	367	20174
34	376	20109
35	385	19963
36	395	19955
37	404	19819
38	410	19628
39	418	19477
40	424	19289
41	431	19089
42	437	18905
43	444	18777
44	451	18625
45	458	18517
46	475	18764
47	484	18697
48	494	18694
49	509	18855
50	519	18851
51	524	18671
52	534	18638
53	541	18518
54	548	18425
55	555	18296
56	563	18232
57	570	18133
58	576	18015
59	581	17865
60	589	17777
61	595	17666
62	613	17895
63	620	17830
64	634	17938
65	649	18074
66	662	18132
67	671	18104
68	677	18009
69	689	18035
70	697	17985
71	704	17910
72	711	17820
73	719	17773
74	726	17693
75	744	17881
76	752	17831
77	759	17763
78	764	17640
79	775	17666
80	788	17733
81	804	17858
82	815	17866
83	826	17889
84	834	17843
85	844	17826
86	851	17773
87	858	17697
88	865	17640
89	870	17531
90	878	17479
91	884	17408
92	890	17325
93	897	17253
94	904	17204
95	905	17026
96	911	16955
97	916	16873
98	921	16788
99	933	16820
100	943	16830
101	958	16914
102	969	16935
103	991	17138
104	1004	17182
105	1020	17290
106	1032	17324
107	1055	17531
108	1079	17758
109	1094	17835
110	1113	17963
111	1122	17938
112	1129	17888
113	1136	17824
114	1145	17802
115	1151	17736
116	1159	17685
117	1166	17640
118	1173	17580
119	1180	17528
120	1186	17465
121	1194	17420
122	1200	17359
123	1207	17317
124	1214	17258
125	1225	17276
126	1239	17326
127	1268	17583
128	1283	17646
129	1293	17629
130	1322	17875
131	1333	17882
132	1355	18030
133	1365	18015
134	1377	18036
135	1407	18279
136	1422	18321
137	1437	18371
138	1462	18548
139	1473	18547
140	1494	18670
141	1503	18640
142	1513	18617
143	1520	18560
144	1529	18534
145	1542	18547
146	1553	18542
147	1561	18509
148	1576	18545
149	1591	18584
150	1608	18648
151	1619	18648
152	1630	18634
153	1638	18599
154	1650	18605
155	1660	18580
156	1668	18546
157	1679	18534
158	1689	18521
159	1701	18524
160	1711	18504
161	1719	18467
162	1733	18498
163	1748	18527
164	1755	18484
165	1763	18440
166	1764	18330
167	1776	18331
168	1782	18283
169	1790	18238
170	1796	18182
171	1802	18132
172	1807	18063
173	1816	18038
174	1824	18008
175	1834	17988
176	1843	17967
177	1850	17920
178	1857	17879
179	1865	17842
180	1874	17823
181	1881	17783
182	1894	17791
183	1904	17785
184	1918	17804
185	1930	17812
186	1940	17795
187	1947	17755
188	1957	17744
189	1966	17720
190	1979	17730
191	1987	17703
192	1994	17659
193	2002	17625
194	2008	17583
195	2016	17548
196	2023	17513
197	2032	17488
198	2039	17454
199	2045	17408
200	2052	17371
201	2067	17398
202	2078	17395
203	2084	17353
204	2093	17326
205	2102	17308
206	2113	17306
207	2125	17312
208	2134	17291
209	2142	17260
210	2149	17226
211	2172	17317
212	2179	17283
213	2190	17278
214	2201	17276
215	2222	17347
216	2230	17317
217	2241	17312
218	2250	17294
219	2258	17266
220	2265	17235
221	2270	17184
222	2285	17210
223	2294	17188
224	2302	17158
225	2308	17117
226	2315	17087
227	2321	17045
228	2329	17017
229	2335	16979
230	2342	16947
231	2352	16930
232	2368	16964
233	2393	17061
234	2405	17060
235	2425	17121
236	2434	17104
237	2441	17067
238	2448	17037
239	2454	16998
240	2462	16969
241	2468	16930
242	2475	16898
243	2479	16849
244	2487	16820
245	2494	16789
246	2509	16813
247	2522	16820
248	2531	16805
249	2541	16794
250	2550	16775
251	2558	16749
252	2565	16721
253	2572	16687
254	2579	16659
255	2585	16625
256	2593	16599
257	2598	16556
258	2608	16549
259	2615	16518
260	2632	16554
261	2644	16551
262	2655	16546
263	2666	16545
264	2681	16566
265	2697	16591
266	2710	16598
267	2721	16591
268	2733	16592
269	2744	16590
270	2751	16562
271	2758	16531
272	2764	16496
273	2771	16466
274	2777	16431
275	2783	16397
276	2790	16371
277	2798	16349
278	2817	16390
279	2830	16398
280	2845	16417
281	2858	16422
282	2867	16401
283	2873	16373
284	2881	16348
285	2887	16317
286	2894	16289
287	2901	16261
288	2908	16234
289	2914	16202
290	2922	16176
291	2928	16144
292	2935	16118
293	2944	16104
294	2975	16211
295	2991	16232
296	3006	16246
297	3019	16253
298	3028	16236
299	3036	16216
300	3043	16187
301	3050	16161
302	3058	16138
303	3065	16113
304	3072	16088
305	3080	16066
306	3087	16039
307	3097	16033
308	3107	16019
309	3115	15998
310	3123	15981
311	3144	16024
312	3173	16111
313	3181	16091
314	3189	16067
315	3196	16043
316	3210	16053
317	3218	16034
318	3234	16049
319	3261	16125
320	3270	16107
321	3292	16156
322	3309	16176
323	3320	16173
324	3332	16168
325	3338	16140
326	3347	16122
327	3353	16092
328	3361	16072
329	3366	16036
330	3377	16028
331	3385	16011
332	3393	15991
333	3404	15983
334	3416	15983
335	3425	15963
336	3431	15935
337	3451	15970
338	3467	15987
339	3481	15995
340	3488	15967
341	3495	15943
342	3502	15918
343	3507	15884
344	3514	15860
345	3524	15850
346	3533	15834
347	3540	15812
348	3554	15818
349	3563	15803
350	3580	15821
351	3602	15864
352	3621	15891
353	3637	15905
354	3648	15900
355	3657	15884
356	3668	15876
357	3679	15867
358	3688	15853
359	3695	15827
360	3701	15801
361	3708	15777
362	3716	15757
363	3721	15725
364	3729	15704
365	3737	15686
366	3745	15666
367	3760	15675
368	3784	15724
